Route_ID,Trip_ID,Stop_ID,Stop_Sequence,Distance_to_Next_Stop_km,Scheduled_Arrival,Actual_Arrival,Scheduled_Departure,Actual_Departure,Attributed_Cause,Root_Cause_Detail
R-101,R-101-T-001,S-01,1,1.6,2024-03-15 06:05:00,2024-03-15 06:05:40,2024-03-15 06:08:50,2024-03-15 06:09:30,On Time,Within tolerance — 0.7m arrival variance
R-101,R-101-T-001,S-02,2,1.0,2024-03-15 06:13:13,2024-03-15 06:13:13,2024-03-15 06:14:35,2024-03-15 06:14:35,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-001,S-03,3,0.6,2024-03-15 06:18:28,2024-03-15 06:18:36,2024-03-15 06:19:19,2024-03-15 06:19:27,On Time,Within tolerance — 0.1m arrival variance
R-101,R-101-T-001,S-04,4,1.3,2024-03-15 06:21:20,2024-03-15 06:22:37,2024-03-15 06:22:37,2024-03-15 06:23:54,On Time,Within tolerance — 1.3m arrival variance
R-101,R-101-T-001,S-05,5,1.7,2024-03-15 06:27:31,2024-03-15 06:28:55,2024-03-15 06:28:52,2024-03-15 06:30:16,On Time,Within tolerance — 1.4m arrival variance
R-101,R-101-T-001,S-06,6,1.1,2024-03-15 06:35:25,2024-03-15 06:39:21,2024-03-15 06:36:26,2024-03-15 06:40:22,On Time,Within tolerance — 3.9m arrival variance
R-101,R-101-T-001,S-07,7,6.3,2024-03-15 06:39:35,2024-03-15 06:41:39,2024-03-15 06:40:31,2024-03-15 06:42:35,Unrealistic Timetable,Schedule physically impossible — requires 110 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-001,S-08,8,0.9,2024-03-15 06:43:57,2024-03-15 06:45:44,2024-03-15 06:45:02,2024-03-15 06:46:49,On Time,Within tolerance — 1.8m arrival variance
R-101,R-101-T-001,S-09,9,2.1,2024-03-15 06:48:34,2024-03-15 06:49:42,2024-03-15 06:49:24,2024-03-15 06:50:32,On Time,Within tolerance — 1.1m arrival variance
R-101,R-101-T-001,S-10,10,0.8,2024-03-15 06:57:35,2024-03-15 06:57:59,2024-03-15 06:58:45,2024-03-15 06:59:09,On Time,Within tolerance — 0.4m arrival variance
R-101,R-101-T-001,S-11,11,0.0,2024-03-15 07:01:51,2024-03-15 07:04:04,2024-03-15 07:05:19,2024-03-15 07:07:32,On Time,Within tolerance — 2.2m arrival variance
R-101,R-101-T-002,S-01,1,0.6,2024-03-15 06:21:00,2024-03-15 06:21:00,2024-03-15 06:23:03,2024-03-15 06:30:35,Vehicle Turnaround Delay,Depot dispatch delay on R-101 — 8m late departure from first stop
R-101,R-101-T-002,S-02,2,0.7,2024-03-15 06:24:32,2024-03-15 06:32:41,2024-03-15 06:25:12,2024-03-15 06:33:21,On Time,Within tolerance — 8.2m arrival variance
R-101,R-101-T-002,S-03,3,0.5,2024-03-15 06:27:03,2024-03-15 06:33:21,2024-03-15 06:28:23,2024-03-15 06:34:41,On Time,Within tolerance — 6.3m arrival variance
R-101,R-101-T-002,S-04,4,2.6,2024-03-15 06:30:10,2024-03-15 06:34:41,2024-03-15 06:31:16,2024-03-15 06:35:47,On Time,Within tolerance — 4.5m arrival variance
R-101,R-101-T-002,S-05,5,2.6,2024-03-15 06:40:38,2024-03-15 06:45:21,2024-03-15 06:41:34,2024-03-15 06:46:17,On Time,Within tolerance — 4.7m arrival variance
R-101,R-101-T-002,S-06,6,2.1,2024-03-15 06:49:06,2024-03-15 06:51:33,2024-03-15 06:49:37,2024-03-15 06:52:04,On Time,Within tolerance — 2.5m arrival variance
R-101,R-101-T-002,S-07,7,6.8,2024-03-15 06:57:22,2024-03-15 06:58:04,2024-03-15 06:57:56,2024-03-15 06:58:38,Unrealistic Timetable,Schedule physically impossible — requires 111 km/h between S-07 and next stop (urban bus max ~50 km/h)
R-101,R-101-T-002,S-08,8,0.6,2024-03-15 07:01:36,2024-03-15 07:01:36,2024-03-15 07:02:38,2024-03-15 07:02:38,On Time,Within tolerance — 0.0m arrival variance
R-101,R-101-T-002,S-09,9,2.6,2024-03-15 07:04:24,2024-03-15 07:05:20,2024-03-15 07:05:13,2024-03-15 07:06:09,On Time,Within tolerance — 0.9m arrival variance
R-101,R-101-T-002,S-10,10,1.6,2024-03-15 07:12:23,2024-03-15 07:12:25,2024-03-15 07:13:52,2024-03-15 07:13:54,On Time,Within tolerance — 0.0m arrival variance
